"Country","Golds","Silvers","Bronzes"
"SUI",1,1,0
"AUS",0,0,0
"NOR",0,0,0
"ESP",1,1,0
"ITA",1,0,1
"EGY",0,1,0
"MAS",0,0,0
"GBR",0,2,1
"UZB",0,0,0
"GEO",0,0,0
"SRI",0,0,0
"INA",0,0,0
"JOR",0,0,0
"CRC",0,0,0
"ISL",0,0,0
"CAY",0,0,0
"SWE",0,0,0
"PAK",0,0,0
"IRI",0,0,0
"BAN",0,0,0
"ROC",1,0,1
"KAZ",0,0,1
"",0,0,0
"BUL",0,0,0
"ALG",0,0,0
"POR",0,0,0
"CHI",0,0,0
"LAT",0,0,0
"RSA",0,0,0
"BRA",1,1,1
"HKG",0,0,0
"CYP",0,0,0
"FIN",0,0,0
"VEN",0,0,0
"PUR",0,0,0
"SCO",0,0,0
"TUR",0,0,1
"AUT",0,0,0
"CZE",0,0,0
"JPN",0,0,1
"IRL",0,0,0
"NIR",1,0,0
"PAN",0,0,0
"ARM",0,0,0
"HUN",0,1,1
"SVK",0,0,0
"WAL",0,0,0
"ROU",0,0,0
"SLO",0,0,0
"CRO",0,0,0
"DEN",0,0,0
"FRA",0,1,0
"PHI",0,0,0
"LTU",1,0,0
"USA",1,2,0
"GER",1,1,0
"CAN",0,0,2
"COL",0,0,0
"MLT",0,0,0
"LUX",0,0,0
"BEL",0,1,2
"MEX",0,0,0
"CUB",0,0,0
"ARG",0,0,0
"ESA",0,0,0
"CHN",4,1,1
"SGP",0,0,0
"UKR",0,0,1
"KOR",0,0,0
"NZL",0,0,0
"DOM",0,0,0
"MON",0,0,0
"MGL",0,0,0
"VIE",0,0,0
"NED",0,0,0
"SRB",0,0,0
"ISR",0,0,0
"IOM",0,0,0
"JAM",0,0,0
"GRE",0,0,0
"ARU",0,0,0
"ENG",1,0,0
"AZE",0,0,0
"PER",0,0,0
"POL",0,0,0
"TPE",0,1,0
"BAR",0,0,0
"IND",0,0,0
"JEY",0,0,0
"THA",0,0,0
"SYR",0,0,0
"MAR",0,0,0
"TTO",0,0,0
"ECU",0,0,0
"ALB",0,0,0
"QAT",0,0,0
"BOL",0,0,0
"BLR",0,0,0
"CCS",0,0,0
