ID,Score,Apparatus,Country
betancourt_victor,69.4827,AA,VEN
bull_tyson,14.04926,HB,AUS
calvo_moreno_jossimar_orlando,15.090831,PB,COL
chasazyrovas_gytis,17.897133,FX,LTU
clenaghan_mc_rhys,15.279321,PH,IRL
davtyan_artur,14.968033,VT,ARM
davtyan_vahagn,14.844011,SR,ARM
dick_ethan,15.141961,PB,NZL
dolgopyat_artem,12.833,HB,ISR
ergashev_khabibullo,79.237,AA,UZB
gawronski_sebastian,14.718805,FX,POL
georgiou_ilias,13.408,SR,CYP
georgiou_marios,14.176299,HB,CYP
huddleston_david,80.095,AA,BUL
ioscovich_eliran,16.440926,VT,ISR
kanerva_tarmo tuomas,13.39267,VT,FIN
kardos_botond,13.87733,PB,HUN
karimi_milad,16.135281,HB,KAZ
keybus_luka,80.72663,AA,BEL
kim_jaeho,14.449,VT,KOR
kurbanov_nariman,14.871417,PH,KAZ
lee_chih,15.015778,PH,TPE
mariano_arthur,14.237,HB,UKR
martinez_victor,14.647613,FX,BEL
merdinyan_harutyun,14.7405,PH,ARM
meszaros_krisztofer,82.21542,AA,HUN
muntean_andrei_vasile,14.422,PB,ROU
nin_audrys,17.038855,FX,DOM
petrounias_eleftherios,15.32655,SR,GRE
shek_wai_hung,14.4425,VT,HKG
shiao_yu,14.465,PH,TPE
simonov_nikita,14.876946,SR,AZE
tang_chia_hung,81.18945,AA,TPE
tomcsanyi_benedek,14.596925,FX,HUN
yulo_carlos_edriel,15.17,PB,PHI
zahran_ali,14.911042,SR,EGY
